userId,name,상의,아우터,하의,신발,액세서리,작성일,체중,키,스타일,비고,이미지
2,geun_the_look,반팔 티,,카고바지,운동화,기타 모자,2023년 9월 1일,63,173,"댄디, 미니멀, 캐주얼",,
2,geun_the_look,"반팔 셔츠/블라우스, 반팔 티",,반바지,구두/로퍼,장목양말,2023년 8월 27일,63,173,"댄디, 미니멀, 캐주얼",,
2,geun_the_look,민소매 티,,반바지,스니커즈/캔버스,"기타 모자, 장목양말",2023년 8월 25일,63,173,"댄디, 미니멀, 캐주얼",,
2,geun_the_look,"반팔 티, 셔츠/블라우스",,반바지,구두/로퍼,,2023년 8월 24일,63,173,"댄디, 미니멀, 캐주얼",,
2,geun_the_look,민소매 티,,반바지,스니커즈/캔버스,장목양말,2023년 8월 16일,63,173,"댄디, 미니멀, 캐주얼",,
2,geun_the_look,"반팔 셔츠/블라우스, 반팔 티",,반바지,스니커즈/캔버스,"기타 모자, 장목양말",2023년 8월 14일,63,173,"댄디, 미니멀, 캐주얼",,
2,geun_the_look,반팔 티,재킷,반바지,구두/로퍼,,2023년 8월 13일,63,173,"댄디, 미니멀, 캐주얼",,
2,geun_the_look,반팔 티,,반바지,샌들/슬리퍼,,2023년 8월 7일,63,173,"댄디, 미니멀, 캐주얼",,
2,geun_the_look,반팔 티,,반바지,레더부츠,"기타 모자, 장목양말",2023년 8월 6일,63,173,"댄디, 미니멀, 캐주얼",,
2,geun_the_look,반팔 티,,반바지,스니커즈/캔버스,장목양말,2023년 8월 4일,63,173,"댄디, 미니멀, 캐주얼",,
2,geun_the_look,반팔 티,,반바지,구두/로퍼,,2023년 8월 3일,63,173,"댄디, 미니멀, 캐주얼",,
2,geun_the_look,반팔 티,,반바지,운동화,기타 모자,2023년 8월 3일,63,173,"댄디, 미니멀, 캐주얼",,
2,geun_the_look,반팔 티,,반바지,샌들/슬리퍼,장목양말,2023년 7월 30일,63,173,"댄디, 미니멀, 캐주얼",,
2,geun_the_look,반팔 티,,반바지,스니커즈/캔버스,,2023년 7월 30일,63,173,"댄디, 미니멀, 캐주얼",,
2,geun_the_look,반팔 티,,반바지,구두/로퍼,,2023년 7월 29일,63,173,"댄디, 미니멀, 캐주얼",,
2,geun_the_look,반팔 티,,트레이닝/조거 팬츠,스니커즈/캔버스,,2023년 7월 28일,63,173,"댄디, 미니멀, 캐주얼",,
2,geun_the_look,반팔 티,,트레이닝/조거 팬츠,운동화,,2023년 7월 28일,63,173,"댄디, 미니멀, 캐주얼",,
2,geun_the_look,반팔 티,,면바지,운동화,기타 모자,2023년 7월 27일,63,173,"댄디, 미니멀, 캐주얼",,
2,geun_the_look,반팔 티,,데님팬츠,샌들/슬리퍼,,2023년 7월 26일,63,173,"댄디, 미니멀, 캐주얼",,
2,geun_the_look,반팔 티,,나일론 팬츠,운동화,기타 모자,2023년 7월 24일,63,173,"댄디, 미니멀, 캐주얼",,
